epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.703125,1.596529483795166,,
0,99,0.8125,1.1408637762069702,,
0,149,0.765625,1.0340332984924316,,
0,199,0.90625,0.8294810056686401,,
0,249,0.84375,0.8886784911155701,,
0,299,0.859375,0.8016605377197266,,
0,349,0.8125,0.827414333820343,,
0,399,0.859375,0.6292964816093445,,
0,449,0.890625,0.5787503719329834,,
0,499,0.90625,0.5518927574157715,,
0,549,0.796875,0.7190442085266113,,
0,599,0.828125,0.6283775568008423,,
0,649,0.875,0.5320677757263184,,
0,699,0.9375,0.37472736835479736,,
0,749,0.921875,0.5076289176940918,,
0,799,0.875,0.43399307131767273,,
0,849,0.84375,0.5631356239318848,,
0,899,0.84375,0.6559088230133057,,
0,936,,,0.8846153616905212,0.4767802655696869
1,949,0.875,0.5194445848464966,,
1,999,0.875,0.4958127737045288,,
1,1049,0.890625,0.43197375535964966,,
1,1099,0.828125,0.5122486352920532,,
1,1149,0.921875,0.33964723348617554,,
1,1199,0.875,0.5261733531951904,,
1,1249,0.953125,0.30926698446273804,,
1,1299,0.953125,0.3978728652000427,,
1,1349,0.890625,0.38928642868995667,,
1,1399,0.9375,0.30043262243270874,,
1,1449,0.859375,0.5069195032119751,,
1,1499,0.796875,0.6612129211425781,,
1,1549,0.890625,0.4300614595413208,,
1,1599,0.890625,0.44865795969963074,,
1,1649,0.90625,0.38687005639076233,,
1,1699,0.890625,0.4449847340583801,,
1,1749,0.921875,0.3389986753463745,,
1,1799,0.859375,0.4710594713687897,,
1,1849,0.875,0.5607299208641052,,
1,1873,,,0.8952323794364929,0.3986870348453522
2,1899,0.875,0.4722936153411865,,
2,1949,0.90625,0.39516401290893555,,
2,1999,0.875,0.5614761114120483,,
2,2049,0.8125,0.5698749423027039,,
2,2099,0.890625,0.29479482769966125,,
2,2149,0.875,0.3914576768875122,,
2,2199,0.921875,0.38561612367630005,,
2,2249,0.875,0.40882688760757446,,
2,2299,0.921875,0.3280898630619049,,
2,2349,0.859375,0.5482637286186218,,
2,2399,0.921875,0.31082096695899963,,
2,2449,0.953125,0.35618865489959717,,
2,2499,0.90625,0.4714858829975128,,
2,2549,0.921875,0.31463027000427246,,
2,2599,0.90625,0.42109817266464233,,
2,2649,0.890625,0.40873634815216064,,
2,2699,0.796875,0.5521096587181091,,
2,2749,0.890625,0.36328184604644775,,
2,2799,0.921875,0.28858503699302673,,
2,2810,,,0.9030448794364929,0.3665177822113037
3,2849,0.90625,0.3249630331993103,,
3,2899,0.953125,0.3574560582637787,,
3,2949,0.953125,0.31408947706222534,,
3,2999,0.921875,0.29447391629219055,,
3,3049,0.96875,0.24876736104488373,,
3,3099,0.921875,0.3652116656303406,,
3,3149,0.96875,0.1700543910264969,,
3,3199,0.890625,0.37724900245666504,,
3,3249,0.921875,0.2569981515407562,,
3,3299,0.921875,0.29858115315437317,,
3,3349,0.875,0.32483339309692383,,
3,3399,0.9375,0.2792648673057556,,
3,3449,0.859375,0.4518376886844635,,
3,3499,0.859375,0.5784079432487488,,
3,3549,0.953125,0.28481525182724,,
3,3599,0.859375,0.44011932611465454,,
3,3649,0.890625,0.40899476408958435,,
3,3699,0.90625,0.47695836424827576,,
3,3747,,,0.9069511294364929,0.3476187288761139
4,3749,0.890625,0.3991255462169647,,
4,3799,0.90625,0.3640170395374298,,
4,3849,0.890625,0.326686292886734,,
4,3899,0.96875,0.2513123154640198,,
4,3949,0.859375,0.4229082763195038,,
4,3999,0.921875,0.2740902304649353,,
4,4049,0.875,0.5034335255622864,,
4,4099,0.890625,0.40999576449394226,,
4,4149,0.875,0.394986629486084,,
4,4199,0.953125,0.21931180357933044,,
4,4249,0.890625,0.33279719948768616,,
4,4299,0.9375,0.3431518077850342,,
4,4349,0.921875,0.25826528668403625,,
4,4399,0.859375,0.48197484016418457,,
4,4449,0.9375,0.2651633620262146,,
4,4499,0.953125,0.23261134326457977,,
4,4549,0.9375,0.3245577812194824,,
4,4599,0.96875,0.23195940256118774,,
4,4649,0.875,0.4557081460952759,,
4,4684,,,0.9089543223381042,0.3349601924419403
